mNGS_sample_name,MAG_ID,nPID,nTID,nSID,Study_Group,Cycle,Visit,CollectDate,Source,tool,size,contigs,N50,SCG_completeness,domain,phylum,class,order,family,genus,species,MAG_derep,MAG_derep_num
3279_10,3279_10_S41_concoct_122,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2259014,34,268320,100,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium adolescentis_1,121
3279_10,3279_10_S41_concoct_20,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1925804,18,197488,100,Bacteria,Bacillota,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister invisus,Dialister invisus_1,71
3279_10,3279_10_S41_concoct_3,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,3434383,49,124601,100,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella sp900549445,Duncaniella sp900549445_1,70
3279_10,3279_10_S41_concoct_70,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,4620572,95,87043,100,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides distasonis_1,1
3279_10,3279_10_S41_concoct_48,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2675964,119,37109,100,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sutterella,Sutterella wadsworthensis_A,Sutterella wadsworthensis_A_1,10
3279_10,3279_10_S41_metabat2_79,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,3138502,37,132277,98,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella intestinihominis_1,9
3279_10,3279_10_S41_concoct_125,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1867407,347,7195,98,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Anaerotardibacter,Anaerotardibacter sp000436075,Anaerotardibacter sp000436075_1,50
3279_10,3279_10_S41_metabat2_96,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2029988,57,51475,100,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp.,Collinsella sp._1,31
3279_10,3279_10_S41_metabat2_2,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2225360,180,17353,100,Bacteria,Bacillota,Clostridia,Christensenellales,QALW01,UMGS1322,UMGS1322 sp900550765,UMGS1322 sp900550765_1,163
3279_10,3279_10_S41_concoct_0,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1862866,618,3625,96,Bacteria,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum_A,Anaerotignum_A faecicola,Anaerotignum_A faecicola_1,97
3279_10,3279_10_S41_concoct_74,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2694900,20,223833,98,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Wujia,Wujia hominis,Wujia hominis_1,43
3279_10,3279_10_S41_metabat2_75,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2634049,135,33398,98,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Gallintestinimicrobium,Gallintestinimicrobium propionicum,Gallintestinimicrobium propionicum_1,39
3279_10,3279_10_S41_concoct_79,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,3010574,118,41573,100,Bacteria,Bacillota,Clostridia,Christensenellales,Aristaeellaceae,UBA11524,UBA11524 sp000437595,UBA11524 sp000437595_1,30
3279_10,3279_10_S41_metabat2_15,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2502707,214,18671,96,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger qucibialis,Gemmiger qucibialis_1,12
3279_10,3279_10_S41_concoct_108,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,3084019,193,32126,100,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes hadrus_1,15
3279_10,3279_10_S41_concoct_47,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2712264,47,116755,100,Bacteria,Bacillota,Clostridia,UBA1381,UBA1381,Hominilimicola,Hominilimicola fabiformis,Hominilimicola fabiformis_1,24
3279_10,3279_10_S41_metabat2_44,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2058969,525,4648,92,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,Adlercreutzia rubneri,Adlercreutzia rubneri_1,67
3279_10,3279_10_S41_concoct_17,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2413299,28,119415,94,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_C,Ruminococcus_C sp000980705,Ruminococcus_C sp000980705_1,52
3279_10,3279_10_S41_metabat2_60,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2618273,85,45890,94,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Hominimerdicola,Hominimerdicola aceti,Hominimerdicola aceti_1,22
3279_10,3279_10_S41_metabat2_52,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2480399,105,44830,94,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,Eubacterium_F sp003491505,Eubacterium_F sp003491505_1,25
